image,taken_on,period,trees,storefronts,lampposts
0/20161010/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161010-1020.raw/4/dr5rsng4zxjn-dr5rsng70400-cds-bd209a4b83760d6b-20161010-1020-214.jpg,2016-10-10 10:29:34-04:00,morning,0,1,0
0/20161012/6fef7e6f017c3f89/cds-6fef7e6f017c3f89-20161012-1248.raw/3/dr5rsn7khq0u-dr5rsn773t57-cds-6fef7e6f017c3f89-20161012-1248-13.jpg,2016-10-12 12:50:16-04:00,morning,0,0,0
0/20161012/33f01c9134eaa6b5/cds-33f01c9134eaa6b5-20161012-1757.raw/4/dr5rsnrhsyuf-dr5rsnrhgkes-cds-33f01c9134eaa6b5-20161012-1757-156.jpg,2016-10-12 18:05:54-04:00,afternoon,1,1,0
0/20161011/fdeb4f0c0eb1bc3c/cds-fdeb4f0c0eb1bc3c-20161011-1022.raw/3/dr5rsnnq26zs-dr5rsnnmgy04-cds-fdeb4f0c0eb1bc3c-20161011-1022-134.jpg,2016-10-11 10:31:44-04:00,morning,0,0,0
0/20161012/ea91d096e3932939/cds-ea91d096e3932939-20161012-1211.raw/4/dr5rsnwtcx2x-dr5rsnwqprqx-cds-ea91d096e3932939-20161012-1211-117.jpg,2016-10-12 12:17:20-04:00,morning,0,0,0
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1523.raw/4/dr5rsncvmby2-dr5rsncvnwe5-cds-ea91d096e3932939-20161022-1523-50.jpg,2016-10-22 15:29:08-04:00,afternoon,1,0,0
0/20161022/ea91d096e3932939/cds-ea91d096e3932939-20161022-1523.raw/4/dr5rsncvwfj5-dr5rsncvx2ne-cds-ea91d096e3932939-20161022-1523-51.jpg,2016-10-22 15:29:10-04:00,afternoon,0,0,0
0/20161021/bd209a4b83760d6b/cds-bd209a4b83760d6b-20161021-0848.raw/4/dr5rsnnmerpm-dr5rsnnmg0kc-cds-bd209a4b83760d6b-20161021-0848-9.jpg,2016-10-21 08:48:54-04:00,morning,1,0,0
0/20161019/a32b6ec5cde27e3a/cds-a32b6ec5cde27e3a-20161019-1128.raw/3/dr5rsp7uj1tr-dr5rsp7uq4cm-cds-a32b6ec5cde27e3a-20161019-1128-113.jpg,2016-10-19 11:34:02-04:00,morning,0,0,0
0/20161019/19919ff6db95782d/cds-19919ff6db95782d-20161019-0858.raw/4/dr5rsnq6j050-dr5rsnq3srd5-cds-19919ff6db95782d-20161019-0858-126.jpg,2016-10-19 09:05:22-04:00,morning,1,0,0
0/20161019/19919ff6db95782d/cds-19919ff6db95782d-20161019-1118.raw/4/dr5rsnr63606-dr5rsnr6gm72-cds-19919ff6db95782d-20161019-1118-128.jpg,2016-10-19 11:28:04-04:00,morning,1,1,0
0/20161024/ea91d096e3932939/cds-ea91d096e3932939-20161024-1119.raw/4/dr5rsn6qgz6q-dr5rsn6rh1ek-cds-ea91d096e3932939-20161024-1119-34.jpg,2016-10-24 11:24:48-04:00,morning,1,0,0
0/20161024/ea91d096e3932939/cds-ea91d096e3932939-20161024-1149.raw/4/dr5rsnd21z7y-dr5rsn6pxdz2-cds-ea91d096e3932939-20161024-1149-21.jpg,2016-10-24 11:52:30-04:00,morning,1,1,0
0/20161025/e5df139233770dec/cds-e5df139233770dec-20161025-1152.raw/4/dr5rsnrr4vec-dr5rsnrr5hbp-cds-e5df139233770dec-20161025-1152-70.jpg,2016-10-25 11:56:48-04:00,morning,0,0,0
0/20161027/af6b56897db9da88/cds-af6b56897db9da88-20161027-1312.raw/3/dr5rsnqjp5xs-dr5rsnqkbtvy-cds-af6b56897db9da88-20161027-1312-169.jpg,2016-10-27 13:21:32-04:00,afternoon,0,1,0
